incorrect,correct
paracmol,Paracetamol
paracitamoll,Paracetamol
parasytamol,Paracetamol
parecetmol,Paracetamol
paraacetamol,Paracetamol
paracetmal,Paracetamol
paracitamol,Paracetamol
parasitamol,Paracetamol
paracetemol,Paracetamol
paracatamol,Paracetamol
paracmol,Paracetamol
paramivir,Peramivir
peremivir,Peramivir
peramver,Peramivir
pramivir,Peramivir
tinidazol,Tinidazole
tinidizole,Tinidazole
tinidizol,Tinidazole
tinnidazole,Tinidazole
tinidozole,Tinidazole
ascoral,Ascoril
ascoril,Ascoril
askoral,Ascoril
ascolil,Ascoril
ascolral,Ascoril
ashcoral,Ascoril
asgoril,Ascoril
asscoril,Ascoril
ashcoril,Ascoril
askorel,Ascoril
escorol,Ascoril
ascoral,Ascoril
kalpol,Calpol
calpol,Calpol
kalpole,Calpol
kalpall,Calpol
kalpal,Calpol
kalpolle,Calpol
callpol,Calpol
kalpoll,Calpol
kallpol,Calpol
kaalpol,Calpol
candit b,Candid
canditbee,Candid
candide b,Candid
candib,Candid
kandid b,Candid
candid be,Candid
candidbee,Candid
candyb,Candid
candidby,Candid
candid b,Candid
cefix,Cefix 
cephix,Cefix 
sefiks,Cefix 
sefex,Cefix 
sefixx,Cefix 
cefic,Cefix 
cefik,Cefix 
ceffix,Cefix 
ceficks,Cefix 
safix,Cefix 
cefix,Cefix 
citrazine,Citrazin
citerazine,Citrazin
citrizine,Citrazin
sitrazeen,Citrazin
citrozin,Citrazin
citerazin,Citrazin
setrazine,Citrazin
cithrazine,Citrazin
ceterazine,Citrazin
citrajeen,Citrazin
citrazine,Citrazin
cyclopan,Cyclopam
cyclopam,Cyclopam
syclopam,Cyclopam
cyclophan,Cyclopam
cyclopamm,Cyclopam
cycklopam,Cyclopam
cyclopen,Cyclopam
syclopan,Cyclopam
cyclopenm,Cyclopam
siklopam,Cyclopam
cyclopan,Cyclopam
doloo,Dolo
dollo,Dolo
doloh,Dolo
dulo,Dolo
doelo,Dolo
doeloe,Dolo
dolow,Dolo
doloa,Dolo
dolor,Dolo
doloe,Dolo
dolu,Dolo
daloo,Dolo
doolu,Dolo
do low,Dolo
doorlo,Dolo
dalo,Dolo
dolo,Dolo
dolu,Dolo
emesit,Emeset
emesett,Emeset
emesid,Emeset
emeshed,Emeset
emesate,Emeset
hemeset,Emeset
emisat,Emeset
emesed,Emeset
emesot,Emeset
emesate,Emeset
emeset,Emeset
fluwer,Fluvir
flovir,Fluvir
fluvier,Fluvir
fluver,Fluvir
flover,Fluvir
fluweer,Fluvir
flovear,Fluvir
fluvear,Fluvir
pluvir,Fluvir
fluvior,Fluvir
fluvir,Fluvir
grilincktus,Grilinctus
grillintus,Grilinctus
grilinxtus,Grilinctus
grillinktas,Grilinctus
grilintax,Grilinctus
grilnctus,Grilinctus
grillinxtas,Grilinctus
grilinksus,Grilinctus
grilliktus,Grilinctus
grillinctaz,Grilinctus
laryago,Lariago
lariyago,Lariago
lareago,Lariago
lariogo,Lariago
lariego,Lariago
larieago,Lariago
lareyago,Lariago
loryago,Lariago
laryagoo,Lariago
lariyagoo,Lariago
lariago,Lariago
malirid,Malirid
malirad,Malirid
maliredh,Malirid
mallired,Malirid
malirith,Malirid
malirit,Malirid
malerid,Malirid
maliret,Malirid
malerit,Malirid
maalired,Malirid
Melirat,Malirid
malired,Malirid
norfloxz,Norflox 
norflox,Norflox 
norflox ,Norflox 
norfloxx,Norflox 
norflocks,Norflox 
noflox,Norflox 
norfloxic,Norflox 
norfloxin,Norflox 
norfloxen,Norflox 
northlox,Norflox 
norflox,Norflox 
oflox200,Oflox 200
ofloxin,Oflox 200
oflux,Oflox 200
offlox,Oflox 200
ooflox,Oflox 200
oflocs,Oflox 200
oflax,Oflox 200
ofloxz,Oflox 200
orflocks,Oflox 200
offlax,Oflox 200
oflox,Oflox 200
ondum,Ondem
ondam,Ondem
ondan,Ondem
ondim,Ondem
ondom,Ondem
ondimn,Ondem
ondanem,Ondem
ondin,Ondem
onndem,Ondem
oondem,Ondem
ondem,Ondem
orss,ORS
orsh,ORS
orsz,ORS
orrs,ORS
orzz,ORS
orrsh,ORS
oars,ORS
ohers,ORS
orus,ORS
orsc,ORS
ors,ORS
platix,Platex
plateks,Platex
plattix,Platex
platyx,Platex
pladex,Platex
playtex,Platex
pladix,Platex
platechs,Platex
platok,Platex
platteks,Platex
platex,Platex
sinarestt,Sinarest
sinaresth,Sinarest
cenarest,Sinarest
senarest,Sinarest
sinerest,Sinarest
sinorest,Sinarest
sinareast,Sinarest
synerest,Sinarest
sinarist,Sinarest
synarest,Sinarest
sinarest,Sinarest
spasmonyl,Spasmonil
spasmoneel,Spasmonil
spasmomil,Spasmonil
spasmoneal,Spasmonil
spasmanyl,Spasmonil
spasmonile,Spasmonil
spasmolin,Spasmonil
spasmoanil,Spasmonil
spasmoenil,Spasmonil
spasminil,Spasmonil
spasmonil,Spasmonil
spasmonil,Spasmonil
tameflu,Tamiflu
tamiflue,Tamiflu
tameflue,Tamiflu
tamiphlu,Tamiflu
tamephlu,Tamiflu
tamiflow,Tamiflu
tamiflou,Tamiflu
tamifloo,Tamiflu
tamifluke,Tamiflu
tamifule,Tamiflu
tamiflu,Tamiflu
thrombup,Thrombup
thromboop,Thrombup
thrombupz,Thrombup
thromdup,Thrombup
thrombook,Thrombup
thrombap,Thrombup
thronbup,Thrombup
tromboop,Thrombup
thrombun,Thrombup
thrombop,Thrombup
thrumbup,Thrombup
zolef,Zole F
zoleef,Zole F
zoalef,Zole F
zol f,Zole F
zolaf,Zole F
zoleyef,Zole F
zolf,Zole F
zofle,Zole F
zowlf,Zole F
zoolf,Zole F
zole f,Zole F
dengi,Dengue
dengoo,Dengue
denguee,Dengue
dengee,Dengue
dangue,Dengue
dangoo,Dengue
dengooe,Dengue
denge,Dengue
dengee,Dengue
dengiu,Dengue
dangu,Dengue
dango,Dengue
denju,Dengue
den goo,Dengue
deng oo,Dengue
dingue,Dengue
dengu,Dengue
denge,Dengue
bengue,Dengue
tyfoid,Typhoid
typhoyd,Typhoid
taifoid,Typhoid
typoyd,Typhoid
tafoid,Typhoid
thyphoid,Typhoid
khasi,cough
pantaprozole,pantoprazole
pantaprozole,pantoprazole
c b c,CBC
levosatrizin,Levocetirizine
levocetrizinum,Levocetirizine
levo-cetrizine  ,Levocetirizine
levosetirizine ,Levocetirizine
levosatrizin,Levocetirizine
bicro  ,Macro
maikro  ,Macro
mikro  ,Macro
maicro  ,Macro
miycro  ,Macro
meekro  ,Macro
mykro  ,Macro
miccro  ,Macro
macrow  ,Macro
mecro  ,Macro
makro  ,Macro
micor  ,Macro
bikro,Macro
mirkro  ,Macro
diabetics  ,Diabetes
dibetes  ,Diabetes
daibities  ,Diabetes
diabities  ,Diabetes
diabitese  ,Diabetes
dibaitis  ,Diabetes
diabets  ,Diabetes
deabetes  ,Diabetes
dibaities  ,Diabetes
diabates  ,Diabetes
chikengunya  ,Chikungunya
chikangunya  ,Chikungunya
chikangunia  ,Chikungunya
chikkangunia  ,Chikungunya
chikkengunia  ,Chikungunya
chickengunya  ,Chikungunya
chickangunia  ,Chikungunya
shikangunya  ,Chikungunya
chiken gunya,Chikungunya
chikungania  ,Chikungunya
asma  ,Asthma
ashma  ,Asthma
asthama  ,Asthma
azma  ,Asthma
assma ,Asthma
tuberculosus  ,Tuberculosis
tuberkulosis  ,Tuberculosis
tubercolosis  ,Tuberculosis
t b  ,Tuberculosis
t.b  ,Tuberculosis
tuberculo  ,Tuberculosis
tb  ,Tuberculosis
newmonia  ,Pneumonia
numonia  ,Pneumonia
nemonia  ,Pneumonia
pnemonia  ,Pneumonia
pneumania  ,Pneumonia
neumonia,Pneumonia
obesetrician,Obstetrician Gynecologist
obsetrician,Obstetrician Gynecologist
obstretician,Obstetrician Gynecologist
obstetricion,Obstetrician Gynecologist
obstechrician,Obstetrician Gynecologist
ob gyne,Obstetrician Gynecologist
objiyn,Obstetrician Gynecologist
objyn,Obstetrician Gynecologist
obg y n,Obstetrician Gynecologist
obie gyn,Obstetrician Gynecologist
object gynecologist,Obstetrician Gynecologist
obstetric and gynecologist,Obstetrician Gynecologist
obstetric gynecologist,Obstetrician Gynecologist
obgyn,Obstetrician Gynecologist
obgin,Obstetrician Gynecologist
obz gyn,Obstetrician Gynecologist
obis gyn,Obstetrician Gynecologist
opstick gynacologist,Obstetrician Gynecologist
abgyn,Obstetrician Gynecologist
laprascop,Laparoscopy
laproscopy,Laparoscopy
laproskopy,Laparoscopy
laproscopi,Laparoscopy
ibf,IVF
i v f,IVF
ivt,IVF
ivf cycle,IVF
pcosh,PCOS
p c o s,PCOS
pcs,PCOS
pcost,PCOS
dubh,DUB
d u b,DUB
dee you bee,DUB
deeb,DUB
menorajia,Menorrhagia
menohrahgia,Menorrhagia
menorragea,Menorrhagia
menorajeea,Menorrhagia
fibroyd,Fibroid
five roid,Fibroid
fibe roid,Fibroid
fibrite,Fibroid
fib ride,Fibroid
endomatriosis,Endometriosis
endumetriosis,Endometriosis
endometriousis,Endometriosis
endometreosis,Endometriosis
utress,Uterus
utrece,Uterus
utarus,Uterus
utaris,Uterus
histeroscopy,Hysteroscopy
hystroscopy,Hysteroscopy
his troscopy,Hysteroscopy
histerescopy,Hysteroscopy
hysterscopy,Hysteroscopy
spekulum,Speculum
speculam,Speculum
specculum,Speculum
spaculum,Speculum
servix,Cervix
sarvix,Cervix
surfix,Cervix
service,Cervix
overies,Ovaries
overy,Ovary
ovarys,Ovaries
ovulasion,Ovulation
ovualtion,Ovulation
ovolaition,Ovulation
ovolation,Ovulation
falikle,Follicle
follikel,Follicle
folicle,Follicle
folikule,Follicle
specialized in laprascopy,specialized in laparoscopy
specialised in laparoscopy,specialized in laparoscopy
specialist in laparoscopy,specialized in laparoscopy
specialize in laproskopy,specialized in laparoscopy
specialized laproscopy,specialized in laparoscopy
special iced in laparoscopy,specialized in laparoscopy
special eyes in laparoscopy,specialized in laparoscopy
special is in laparoscopy,specialized in laparoscopy
specially in laproscopy,specialized in laparoscopy
specialist laproscopi,specialized in laparoscopy
